,dataset,mean,std
0,AUSLAN,0.13936842105263156,0.0201592917843036
1,ArabicDigits,0.9540454545454546,0.0035527314599398544
2,CMUsubject16,0.7965517241379311,0.03916488514345016
3,CharacterTrajectories,0.30410476935105557,0.06657843370473361
4,ECG,0.786,0.01685229954635273
5,JapaneseVowels,0.6262162162162161,0.05767658754566772
6,KickvsPunch,0.6699999999999999,0.045825756949558386
7,Libras,0.26166666666666666,0.021865187393504924
8,NetFlow,0.9234082397003747,0.007226135348904395
9,UWave,0.2612903225806452,0.01813178513671352
10,Wafer,0.9079241071428573,0.015903528344596927
11,WalkvsRun,0.90625,0.0978279740156158
