,dataset,mean,std
0,AUSLAN,0.7784561403508772,0.023543938086516662
1,ArabicDigits,0.9706363636363637,0.005466653228499178
2,CMUsubject16,0.8275862068965518,0.09123280382981347
3,CharacterTrajectories,0.9104378420641126,0.02282675462176033
4,ECG,0.86,0.030000000000000002
5,JapaneseVowels,0.5848648648648649,0.07302500647373752
6,KickvsPunch,0.6799999999999999,0.1077032961426901
7,Libras,0.41277777777777774,0.11138992795303673
8,NetFlow,0.9264044943820225,0.010888832779106043
9,UWave,0.4614071996259934,0.1314770013582708
10,Wafer,0.9452008928571429,0.028152666735002094
11,WalkvsRun,0.99375,0.01875
