,dataset,mean,std
0,AUSLAN,0.9589473684210524,0.006079396707526645
1,ArabicDigits,0.9877727272727274,0.002606809265261747
2,CMUsubject16,0.903448275862069,0.09354937907758992
3,CharacterTrajectories,0.9745895230648944,0.00449824858909854
4,ECG,0.8640000000000001,0.025768197453450273
5,JapaneseVowels,0.9681081081081082,0.007431203829658137
6,KickvsPunch,0.74,0.12000000000000002
7,Libras,0.8844444444444445,0.016814162167135088
8,NetFlow,0.9294007490636705,0.007677902621722832
9,UWave,0.8992987377279101,0.01364002690447166
10,Wafer,0.9876116071428571,0.00604020496773874
11,WalkvsRun,0.9625,0.1125
