,dataset,mean,std
0,AUSLAN,0.9952982456140351,0.0017767001966557737
1,ArabicDigits,0.9913636363636364,0.0006098367211362895
2,CMUsubject16,0.9310344827586207,0.05770069148510868
3,CharacterTrajectories,0.9897967161845191,0.0018373729476153485
4,ECG,0.8920000000000001,0.007483314773547889
5,JapaneseVowels,0.9848648648648647,0.0030096023582865594
6,KickvsPunch,0.72,0.12489995996796799
7,Libras,0.9333333333333333,0.01314684396244354
8,NetFlow,0.945505617977528,0.005583539893586318
9,UWave,0.9461196820944368,0.0035469824463519005
10,Wafer,0.9940848214285716,0.004656840635050254
11,WalkvsRun,0.9875,0.024999999999999998
