,dataset,mean,std
0,AUSLAN,0.8448421052631578,0.026407699148743767
1,ArabicDigits,0.9814999999999999,0.0020231102803879284
2,CMUsubject16,0.9241379310344827,0.03006137202441851
3,CharacterTrajectories,0.9197810789679437,0.020423485957563783
4,ECG,0.851,0.020712315177207997
5,JapaneseVowels,0.9127027027027028,0.014756360751047274
6,KickvsPunch,0.6799999999999999,0.07483314773547885
7,Libras,0.7355555555555556,0.02757705254664636
8,NetFlow,0.9205992509363297,0.006497884484231317
9,UWave,0.7140953716690042,0.03802331297266042
10,Wafer,0.9818080357142854,0.006826307447934411
11,WalkvsRun,0.98125,0.028641098093473996
