,dataset,mean,std
0,AUSLAN,0.04631578947368421,0.005362799487590961
1,ArabicDigits,0.9379545454545456,0.008489784819475198
2,CMUsubject16,0.7482758620689656,0.04375371565672249
3,CharacterTrajectories,0.19863174354964816,0.020579766702541982
4,ECG,0.6910000000000001,0.02913760456866692
5,JapaneseVowels,0.3583783783783784,0.04447896557226098
6,KickvsPunch,0.73,0.04582575694955844
7,Libras,0.2277777777777778,0.013146843962443592
8,NetFlow,0.8996254681647942,0.004447319133722122
9,UWave,0.2896213183730715,0.020941548765240806
10,Wafer,0.8939732142857142,1.1102230246251565e-16
11,WalkvsRun,0.79375,0.06281172263200557
