,dataset,mean,std
0,AUSLAN,0.852701754385965,0.022533747476074225
1,ArabicDigits,0.9764545454545456,0.0036916255462267375
2,CMUsubject16,0.8517241379310345,0.11232067224070573
3,CharacterTrajectories,0.9643080531665363,0.006235432020322515
4,ECG,0.867,0.02051828452868321
5,JapaneseVowels,0.8664864864864865,0.03239186652233218
6,KickvsPunch,0.74,0.11135528725660046
7,Libras,0.6944444444444444,0.024720661623652187
8,NetFlow,0.9408239700374532,0.006108429374644198
9,UWave,0.8581346423562414,0.024522898675187952
10,Wafer,0.9869419642857142,0.008292793744758898
11,WalkvsRun,0.99375,0.01875
