,dataset,mean,std
0,AUSLAN,0.9533333333333334,0.00917260363435906
1,ArabicDigits,0.9790909090909091,0.0021125363706585853
2,CMUsubject16,0.9862068965517242,0.016893032708849485
3,CharacterTrajectories,0.9799843627834246,0.0019530877242840987
4,ECG,0.86,0.012649110640673528
5,JapaneseVowels,0.9289189189189191,0.009970738781457678
6,KickvsPunch,0.74,0.128062484748657
7,Libras,0.903888888888889,0.011666666666666646
8,NetFlow,0.9316479400749065,0.007641275566705263
9,UWave,0.874731182795699,0.010822814399251993
10,Wafer,0.9864955357142856,0.0016134857471875783
11,WalkvsRun,0.99375,0.01875
